Category,Question,Difficulty
Basic,Write a Python program to swap two numbers without using a third variable.,Easy
Basic,Write a Python program to check if a number is even or odd.,Easy
Basic,Write a program to find the largest among three numbers.,Easy
Basic,Write a program to check if a given number is a palindrome.,Medium
Basic,Write a program to print the Fibonacci sequence up to n terms.,Medium
Basic,Write a program to count vowels and consonants in a string.,Easy
Basic,Write a Python program to find the factorial of a number using a loop.,Medium
Basic,Write a program to find the sum of digits of a number.,Easy
Loops,Write a program to print all prime numbers between 1 to 100.,Medium
Loops,Write a program to print a right-angled triangle pattern using *.,Easy
Loops,Write a Python program to reverse a string using a loop.,Easy
Loops,Write a program to check if a number is an Armstrong number.,Medium
Loops,Write a program to find numbers divisible by 7 but not by 5 between 1500 and 2700.,Medium
List,Write a program to find the largest and smallest element in a list.,Easy
List,Write a program to remove duplicates from a list.,Medium
List,Write a program to count the frequency of each element in a list.,Medium
List,Write a Python program to find the second largest number in a list.,Medium
List,Write a program to convert a list of tuples into a dictionary.,Medium
Dictionary,Write a program to count word occurrences in a sentence using a dictionary.,Medium
Dictionary,Write a Python script to merge two dictionaries.,Easy
Dictionary,Write a Python program to find common elements in two sets.,Easy
Dictionary,Write a Python program to remove a key from a dictionary safely.,Easy
Dictionary,Write a program to check if two dictionaries are equal or not.,Medium
Functions,Create a function to check if a string is a palindrome.,Easy
Functions,Create a function to calculate the area of a circle.,Easy
Functions,Create a function that returns the maximum of three numbers.,Easy
Functions,Write a recursive function to calculate factorial.,Medium
Functions,Write a function to count even and odd numbers in a list.,Easy
Data Analysis,Read a CSV file using pandas and display the first 5 rows.,Easy
Data Analysis,"Find the average, maximum, and minimum values from a numerical column in a DataFrame.",Medium
Data Analysis,Group the data by a column and find the sum of another column.,Medium
Data Analysis,Check for missing values in a dataset and fill them with the mean.,Medium
Data Analysis,Sort a DataFrame based on multiple columns.,Easy
Data Analysis,Merge two DataFrames on a common column.,Medium
File Handling,Write a program to read a text file and count the number of words.,Medium
File Handling,Write a Python program to write user input into a file.,Easy
File Handling,Write a Python program to copy contents from one file to another.,Easy
File Handling,Write a program to count lines and characters in a file.,Medium
